ObsSampleID,Date,Observer,Time_Start,Time_End,Activity,Duration
OS16291,12/13/2009,Obs1,13:30:08,16:00:08,Field work - behavioral data,2:30:00
OS16294,12/16/2009,Obs1,7:30:00,7:47:00,Field work - search for groups,0:17:00
OS16294,12/16/2009,Obs1,7:47:04,14:00:04,Field work - behavioral data,6:13:00
OS99201,3/13/2010,Obs2,10:00:00,11:02:00,Field work - other,1:02:00
OS99203,3/15/2010,Obs2,15:24:00,18:08:00,Field work - other,2:44:00
OS99204,3/16/2010,Obs2,5:42:00,17:15:00,Field work - darting,11:33:00
OS99205,3/17/2010,Obs2,6:23:00,7:44:00,Field work - darting,1:21:00
OS99205,3/17/2010,Obs2,12:22:00,17:25:00,Field work - darting,5:03:00
OS99206,3/18/2010,Obs2,9:28:00,15:05:00,Field work - darting,5:37:00
OS99206,3/18/2010,Obs2,15:33:00,15:48:00,Field work - search for groups,0:15:00
OS99207,3/20/2010,Obs2,6:30:00,7:30:00,Field work - other,1:00:00
OS99207,3/20/2010,Obs2,7:33:00,11:00:00,Field work - search for groups,3:27:00
OS98000,6/8/2010,Obs2,7:18:29,13:12:37,Field work - search for groups,5:54:08
OS98000,6/8/2010,Obs2,13:12:43,13:41:06,Field work - returning to camp,0:28:23
OS98001,6/9/2010,Obs2,7:17:23,17:12:00,Field work - search for groups,9:54:37
OS98002,6/10/2010,Obs2,12:11:11,18:00:11,Field work - search for groups,5:49:00
OS98003,6/11/2010,Obs2,9:30:22,10:05:05,Field work - search for groups,0:34:43
OS98003,6/11/2010,Obs2,11:19:58,17:40:58,Field work - search for groups,6:21:00
OS98004,6/12/2010,Obs2,5:36:04,12:34:04,Field work - search for groups,6:58:00
OS98004,6/12/2010,Obs2,16:55:54,17:34:36,Field work - search for groups,0:38:42
OS16349,6/13/2010,Obs1,6:30:57,7:52:57,Field work - search for groups,1:22:00
OS16349,6/13/2010,Obs1,7:52:20,9:33:20,Field work - behavioral data,1:41:00
OS16349,6/13/2010,Obs1,9:55:46,9:59:46,Field work - search for groups,0:04:00
OS16349,6/13/2010,Obs1,9:59:19,13:40:19,Field work - behavioral data,3:41:00
OS16349,6/13/2010,Obs1,15:21:25,15:57:25,Field work - search for groups,0:36:00
OS16349,6/13/2010,Obs1,15:57:09,17:22:09,Field work - behavioral data,1:25:00
OS16343,6/14/2010,Obs1,7:15:47,8:00:47,Field work - search for groups,0:45:00
OS16343,6/14/2010,Obs1,8:00:50,14:35:50,Field work - habituation,6:35:00
OS98007,6/14/2010,Obs2,10:32:57,17:33:57,Field work - search for groups,7:01:00
OS98005,6/15/2010,Obs2,10:59:13,15:41:31,Field work - search for groups,4:42:18
OS16344,6/15/2010,Obs1,11:00:58,11:30:58,Field work - search for groups,0:30:00
OS16344,6/15/2010,Obs1,11:30:08,16:40:08,Field work - habituation,5:10:00
OS98005,6/15/2010,Obs2,15:41:35,16:11:06,Field work - returning to camp,0:29:31
OS16345,6/16/2010,Obs1,7:30:39,8:14:39,Field work - search for groups,0:44:00
OS16345,6/16/2010,Obs1,8:14:27,13:45:27,Field work - behavioral data,5:31:00
OS98008,6/16/2010,Obs2,10:49:50,13:59:50,Field work - search for groups,3:10:00
OS98008,6/16/2010,Obs2,16:09:43,16:26:55,Field work - search for groups,0:17:12
OS16345,6/16/2010,Obs1,16:10:20,16:20:20,Field work - search for groups,0:10:00
OS16345,6/16/2010,Obs1,16:20:34,17:18:34,Field work - behavioral data,0:58:00
OS98008,6/16/2010,Obs2,16:26:11,17:19:23,Field work - other,0:53:12
OS16346,6/17/2010,Obs1,7:30:06,8:13:06,Field work - search for groups,0:43:00
OS16346,6/17/2010,Obs1,8:13:47,12:15:47,Field work - behavioral data,4:02:00
OS16346,6/17/2010,Obs1,12:40:22,13:40:22,Field work - search for groups,1:00:00
OS16346,6/17/2010,Obs1,13:40:53,15:39:53,Field work - behavioral data,1:59:00
OS98009,6/17/2010,Obs2,14:08:30,16:57:00,Field work - search for groups,2:48:30
OS16346,6/17/2010,Obs1,15:39:47,15:59:47,Field work - search for groups,0:20:00
OS16346,6/17/2010,Obs1,15:59:47,16:54:47,Field work - behavioral data,0:55:00
OS98010,6/18/2010,Obs2,7:29:41,15:35:44,Field work - search for groups,8:06:03
OS16347,6/18/2010,Obs1,7:30:44,8:06:44,Field work - search for groups,0:36:00
OS16347,6/18/2010,Obs1,8:06:58,15:00:58,Field work - habituation,6:54:00
OS16347,6/18/2010,Obs1,15:00:50,16:20:47,Field work - search for groups,1:19:57
OS16347,6/18/2010,Obs1,16:20:37,17:30:37,Field work - behavioral data,1:10:00
OS16350,6/20/2010,Obs1,7:30:53,8:52:53,Field work - search for groups,1:22:00
OS98012,6/20/2010,Obs2,8:02:27,8:02:27,Field work - search for groups,0:00:00
OS16350,6/20/2010,Obs1,8:52:43,9:02:43,Field work - search for groups,0:10:00
OS16350,6/20/2010,Obs1,9:02:27,10:18:27,Field work - behavioral data,1:16:00
OS16350,6/20/2010,Obs1,10:18:01,11:12:01,Field work - behavioral data,0:54:00
OS16350,6/20/2010,Obs1,11:12:26,15:40:26,Field work - behavioral data,4:28:00
OS16350,6/20/2010,Obs1,15:40:57,16:40:57,Field work - search for groups,1:00:00
OS16351,6/21/2010,Obs1,8:00:05,9:30:05,Field work - search for groups,1:30:00
OS98013,6/21/2010,Obs2,8:19:33,9:24:45,Field work - search for groups,1:05:12
OS16351,6/21/2010,Obs1,9:30:57,9:53:57,Field work - other,0:23:00
OS16351,6/21/2010,Obs1,10:00:22,10:50:22,Field work - other,0:50:00
OS98013,6/21/2010,Obs2,15:07:43,17:06:43,Field work - search for groups,1:59:00
OS16352,6/22/2010,Obs1,7:37:34,8:15:34,Field work - search for groups,0:38:00
OS98037,6/22/2010,Obs2,7:37:57,11:52:23,Field work - search for groups,4:14:26
OS98037,6/22/2010,Obs2,8:00:40,11:50:00,Field work - search for groups,3:49:20
OS16352,6/22/2010,Obs1,8:15:39,11:54:39,Field work - behavioral data,3:39:00
OS98037,6/22/2010,Obs2,11:50:40,12:07:40,Field work - returning to camp,0:17:00
OS98037,6/22/2010,Obs2,11:52:25,12:07:24,Field work - returning to camp,0:14:59
OS16352,6/22/2010,Obs1,13:36:32,14:32:32,Field work - search for groups,0:56:00
OS98037,6/22/2010,Obs2,13:37:25,17:32:30,Field work - search for groups,3:55:05
OS98037,6/22/2010,Obs2,14:00:40,17:35:40,Field work - search for groups,3:35:00
OS16352,6/22/2010,Obs1,14:32:27,17:45:27,Field work - behavioral data,3:13:00
OS98037,6/22/2010,Obs2,17:32:43,18:03:36,Field work - returning to camp,0:30:53
OS98037,6/22/2010,Obs2,17:35:40,18:15:40,Field work - returning to camp,0:40:00
OS16353,6/23/2010,Obs1,7:37:53,8:11:53,Field work - search for groups,0:34:00
OS16353,6/23/2010,Obs1,8:11:05,8:57:05,Field work - behavioral data,0:46:00
OS16353,6/23/2010,Obs1,8:57:57,10:12:57,Field work - search for groups,1:15:00
OS16353,6/23/2010,Obs1,10:12:17,15:02:17,Field work - darting,4:50:00
OS98014,6/23/2010,Obs2,10:17:01,15:02:01,Field work - darting,4:45:00
OS98014,6/23/2010,Obs2,15:02:17,15:15:17,Field work - returning to camp,0:13:00
OS16353,6/23/2010,Obs1,16:02:55,16:28:55,Field work - search for groups,0:26:00
OS16353,6/23/2010,Obs1,16:28:10,17:28:10,Field work - behavioral data,1:00:00
OS98014,6/23/2010,Obs2,16:49:13,16:55:13,Field work - search for groups,0:06:00
OS98014,6/23/2010,Obs2,17:00:04,17:24:40,Field work - other,0:24:36
OS98014,6/23/2010,Obs2,17:24:50,17:30:10,Field work - returning to camp,0:05:20
OS16354,6/24/2010,Obs1,7:20:09,7:30:09,Field work - search for groups,0:10:00
OS98015,6/24/2010,Obs2,7:47:08,11:45:08,Field work - search for groups,3:58:00
OS98015,6/24/2010,Obs2,11:45:50,11:59:50,Field work - returning to camp,0:14:00
OS16354,6/24/2010,Obs1,13:30:53,13:58:53,Field work - search for groups,0:28:00
OS16354,6/24/2010,Obs1,14:15:26,16:35:26,Field work - search for groups,2:20:00
OS98015,6/24/2010,Obs2,15:06:54,15:46:54,Field work - search for groups,0:40:00
OS16354,6/24/2010,Obs1,16:35:59,18:00:59,Field work - behavioral data,1:25:00
OS16355,6/25/2010,Obs1,8:12:10,8:30:10,Field work - search for groups,0:18:00
OS16355,6/25/2010,Obs1,8:30:59,12:00:59,Field work - behavioral data,3:30:00
OS16355,6/25/2010,Obs1,12:34:53,14:38:53,Field work - search for groups,2:04:00
OS16355,6/25/2010,Obs1,14:38:56,17:00:56,Field work - behavioral data,2:22:00
OS98016,6/25/2010,Obs2,17:05:53,17:49:40,Field work - search for groups,0:43:47
OS16356,6/26/2010,Obs1,11:26:48,13:45:48,Field work - search for groups,2:19:00
OS98017,6/26/2010,Obs2,11:29:23,11:50:39,Field work - search for groups,0:21:16
OS16356,6/26/2010,Obs1,11:50:04,11:51:04,Field work - behavioral data,0:01:00
OS98017,6/26/2010,Obs2,11:50:15,13:45:15,Field work - behavioral data,1:55:00
OS98017,6/26/2010,Obs2,13:45:25,14:08:40,Field work - search for groups,0:23:15
OS16356,6/26/2010,Obs1,13:45:32,14:06:32,Field work - search for groups,0:21:00
OS16356,6/26/2010,Obs1,14:06:43,16:40:43,Field work - behavioral data,2:34:00
OS98017,6/26/2010,Obs2,14:08:40,16:10:40,Field work - behavioral data,2:02:00
OS98017,6/26/2010,Obs2,16:10:40,17:40:40,Field work - behavioral data,1:30:00
OS98017,6/26/2010,Obs2,17:40:23,17:49:43,Field work - returning to camp,0:09:20
OS16357,6/27/2010,Obs1,7:30:49,8:14:49,Field work - search for groups,0:44:00
OS98018,6/27/2010,Obs2,7:54:46,8:09:10,Field work - search for groups,0:14:24
OS98018,6/27/2010,Obs2,8:09:15,10:34:15,Field work - behavioral data,2:25:00
OS16357,6/27/2010,Obs1,8:14:47,14:40:47,Field work - behavioral data,6:26:00
OS98018,6/27/2010,Obs2,10:34:31,11:54:31,Field work - other,1:20:00
OS98018,6/27/2010,Obs2,11:54:54,14:28:54,Field work - behavioral data,2:34:00
OS98018,6/27/2010,Obs2,14:28:19,14:36:07,Field work - returning to camp,0:07:48
OS98018,6/27/2010,Obs2,15:39:48,16:03:02,Field work - search for groups,0:23:14
OS98018,6/27/2010,Obs2,16:03:12,16:25:12,Field work - returning to camp,0:22:00
OS16358,6/28/2010,Obs1,6:00:13,9:45:13,Field work - search for groups,3:45:00
OS16358,6/28/2010,Obs1,10:32:56,10:58:56,Field work - search for groups,0:26:00
OS16358,6/28/2010,Obs1,10:58:15,17:40:15,Field work - behavioral data,6:42:00
OS16359,6/29/2010,Obs1,6:00:46,8:06:46,Field work - search for groups,2:06:00
OS98022,6/29/2010,Obs2,6:42:03,15:24:16,Field work - search for groups,8:42:13
OS16359,6/29/2010,Obs1,8:06:22,10:52:22,Field work - behavioral data,2:46:00
OS16360,6/30/2010,Obs1,6:07:36,8:19:36,Field work - search for groups,2:12:00
OS98023,6/30/2010,Obs2,6:35:48,17:44:48,Field work - other,11:09:00
OS16360,6/30/2010,Obs1,8:19:56,17:07:56,Field work - behavioral data,8:48:00
OS98023,6/30/2010,Obs2,17:45:05,18:05:17,Field work - returning to camp,0:20:12
OS16361,7/1/2010,Obs1,6:00:51,7:37:51,Field work - search for groups,1:37:00
OS98024,7/1/2010,Obs2,6:09:14,6:29:30,Field work - search for groups,0:20:16
OS98024,7/1/2010,Obs2,6:29:35,13:05:35,Field work - behavioral data,6:36:00
OS16361,7/1/2010,Obs1,7:37:49,12:05:49,Field work - habituation,4:28:00
OS16361,7/1/2010,Obs1,12:05:03,12:37:03,Field work - other,0:32:00
OS98024,7/1/2010,Obs2,13:05:55,14:12:55,Field work - returning to camp,1:07:00
OS16362,7/2/2010,Obs1,7:45:34,9:05:34,Field work - search for groups,1:20:00
OS98025,7/2/2010,Obs2,7:51:29,15:16:09,Field work - other,7:24:40
OS16362,7/2/2010,Obs1,9:05:44,16:00:44,Field work - behavioral data,6:55:00
OS98025,7/2/2010,Obs2,15:16:10,15:40:17,Field work - returning to camp,0:24:07
OS16362,7/2/2010,Obs1,16:00:59,16:10:59,Field work - returning to camp,0:10:00
OS16363,7/3/2010,Obs1,7:35:35,8:58:35,Field work - search for groups,1:23:00
